eBirdID,CommonName,Count,Region,Location,County,Date,Time
S65394077,Red-breasted Nuthatch,1,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Red-breasted Nuthatch,2,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66013236,Red-breasted Nuthatch,2,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S66041652,Red-breasted Nuthatch,3,US-CO,"Pike and San Isabel National Forests, Woodland Park US-CO 39.12791, -105.23136",Teller,3/15/20,09:33:00
S65370798,White-breasted Nuthatch,1,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S65698642,White-breasted Nuthatch,1,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66642699,Pygmy Nuthatch,12,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66041652,Pygmy Nuthatch,3,US-CO,"Pike and San Isabel National Forests, Woodland Park US-CO 39.12791, -105.23136",Teller,3/15/20,09:33:00
S65364289,Brown Creeper,2,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65698642,Brown Creeper,2,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66642699,Canyon Wren,1,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63492186,American Dipper,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/17/20,17:16:00
S65394077,American Dipper,1,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S63589677,European Starling,20,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66719539,European Starling,13,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,European Starling,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,European Starling,25,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66111081,European Starling,3,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S66695801,European Starling,2,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65364289,European Starling,5,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65698642,European Starling,4,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,European Starling,11,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66676560,European Starling,9,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63799861,European Starling,4,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66111768,European Starling,1,US-CO,Riverbend Ponds Natural Area,Larimer,3/22/20,17:24:00
S66771868,European Starling,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66695801,Western Bluebird,2,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S66642699,Western Bluebird,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66129081,Western Bluebird,1,US-CO,Yard - Parker St,Larimer,3/22/20,16:00:00
S66642699,Mountain Bluebird,8,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66331971,Mountain Bluebird,15,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S66642699,Townsend's Solitaire,7,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63606162,Townsend's Solitaire,1,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66108842,American Robin,3,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S66719539,American Robin,25,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,American Robin,11,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,American Robin,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,American Robin,7,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66695801,American Robin,15,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S66375157,American Robin,1,US-CO,Coyote Ridge Natural Area,Larimer,3/29/20,12:31:00
S65364289,American Robin,2,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,American Robin,1,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S65698642,American Robin,10,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,American Robin,7,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66642699,American Robin,20,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66112732,American Robin,1,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66676560,American Robin,3,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63525614,American Robin,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S63799861,American Robin,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66128302,American Robin,18,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,American Robin,6,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,American Robin,13,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,American Robin,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66438782,American Robin,2,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,American Robin,3,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S66013236,American Robin,1,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S66041652,American Robin,2,US-CO,"Pike and San Isabel National Forests, Woodland Park US-CO 39.12791, -105.23136",Teller,3/15/20,09:33:00
S65364289,Cedar Waxwing,9,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S66922839,Cedar Waxwing,25,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S63597345,House Sparrow,5,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,House Sparrow,11,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65394077,House Sparrow,4,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66858963,American Pipit,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,American Pipit,5,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,American Pipit,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S63597345,House Finch,6,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,House Finch,11,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,House Finch,20,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66024072,House Finch,5,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S65394077,House Finch,8,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,House Finch,11,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,House Finch,2,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S63478265,House Finch,4,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S66013236,House Finch,3,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S63771755,Red Crossbill,3,US-WY,Medicine Bow NF--Vedauwoo CG area,Albany,1/25/20,13:14:00
S66642699,Red Crossbill,3,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66041652,Red Crossbill,12,US-CO,"Pike and San Isabel National Forests, Woodland Park US-CO 39.12791, -105.23136",Teller,3/15/20,09:33:00
S65370798,Pine Siskin,1,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66719539,American Goldfinch,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,American Goldfinch,5,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,American Goldfinch,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66695801,American Goldfinch,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S66676560,American Goldfinch,2,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66771868,American Goldfinch,9,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66438782,American Goldfinch,2,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,American Goldfinch,3,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S63478265,American Goldfinch,2,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S63597345,Dark-eyed Junco,1,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,Dark-eyed Junco,5,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Dark-eyed Junco,2,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66642699,Dark-eyed Junco,3,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66331971,Dark-eyed Junco,2,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S65394077,Dark-eyed Junco,2,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Dark-eyed Junco,2,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66013236,Dark-eyed Junco,1,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S66128302,White-crowned Sparrow,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,White-crowned Sparrow,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,White-crowned Sparrow,3,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66013236,White-throated Sparrow,1,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S63589677,Song Sparrow,2,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66719539,Song Sparrow,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Song Sparrow,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Song Sparrow,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S63525614,Song Sparrow,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S66128302,Song Sparrow,5,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Song Sparrow,6,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Song Sparrow,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66438782,Song Sparrow,1,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66695801,Spotted Towhee,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S66375157,Spotted Towhee,2,US-CO,Coyote Ridge Natural Area,Larimer,3/29/20,12:31:00
S66642699,Spotted Towhee,5,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66676560,Spotted Towhee,4,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66858963,Yellow-headed Blackbird,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67143580,Yellow-headed Blackbird,35,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66719539,Western Meadowlark,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Western Meadowlark,11,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Western Meadowlark,7,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Western Meadowlark,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66375157,Western Meadowlark,3,US-CO,Coyote Ridge Natural Area,Larimer,3/29/20,12:31:00
S66642699,Western Meadowlark,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66676560,Western Meadowlark,8,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66169221,Western Meadowlark,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Western Meadowlark,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S63478265,Western Meadowlark,1,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S66108842,Red-winged Blackbird,8,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S66719539,Red-winged Blackbird,25,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Red-winged Blackbird,NA,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Red-winged Blackbird,31,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Red-winged Blackbird,25,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66111081,Red-winged Blackbird,3,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S66695801,Red-winged Blackbird,9,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65698642,Red-winged Blackbird,2,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,Red-winged Blackbird,3,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66642699,Red-winged Blackbird,3,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66676560,Red-winged Blackbird,4,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63525614,Red-winged Blackbird,11,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S63799861,Red-winged Blackbird,17,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66111768,Red-winged Blackbird,6,US-CO,Riverbend Ponds Natural Area,Larimer,3/22/20,17:24:00
S66128302,Red-winged Blackbird,100,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Red-winged Blackbird,100,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Red-winged Blackbird,50,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Red-winged Blackbird,NA,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66718618,Red-winged Blackbird,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S66112732,Brewer's Blackbird,35,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66771868,Brewer's Blackbird,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S67143580,Common Grackle,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66771868,Common Grackle,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Common Grackle,12,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66858963,Great-tailed Grackle,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S63799861,blackbird sp.,41,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
