eBirdID,CommonName,Count,Region,Location,County,Date,Time
S67030975,Double-crested Cormorant,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66718618,American White Pelican,2,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S66696622,American White Pelican,14,US-CO,"Williams Lake, Fort Collins US-CO (40.5533,-105.0564)",Larimer,4/5/20,17:40:00
S63726703,Great Blue Heron,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/24/20,08:12:00
S63805357,Great Blue Heron,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/26/20,10:56:00
S66719539,Great Blue Heron,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Great Blue Heron,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Great Blue Heron,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S65698642,Great Blue Heron,1,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S63525614,Great Blue Heron,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S66111768,Great Blue Heron,2,US-CO,Riverbend Ponds Natural Area,Larimer,3/22/20,17:24:00
S66128302,Great Blue Heron,3,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66947114,Great Blue Heron,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66642699,Turkey Vulture,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66676560,Turkey Vulture,12,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S67143580,Osprey,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66169221,Osprey,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Osprey,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Osprey,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66642699,Golden Eagle,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63777493,Northern Harrier,1,US-WY,"1807–1813 US-287 S, Laramie US-WY (41.0781,-105.5037)",Albany,1/25/20,14:24:00
S66128302,Northern Harrier,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S63478265,Northern Harrier,1,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S63805357,Sharp-shinned Hawk,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/26/20,10:56:00
S66642699,Northern Goshawk,1,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63589677,Bald Eagle,1,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66642699,Bald Eagle,1,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66169221,Bald Eagle,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66858963,Red-tailed Hawk,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
